127.0.0.1 - - [18/Dec/2016:19:49:40 +0100] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [18/Dec/2016:19:49:40 +0100] "GET /cardioSHARE/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:19:49:40 +0100] "GET /cardioSHARE/style/jquery.autocomplete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:19:49:40 +0100] "GET /cardioSHARE/style/cardioSHARE.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:19:49:40 +0100] "GET /cardioSHARE/style/jquery.sparqlassist.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:19:49:41 +0100] "GET /cardioSHARE/js/jquery.caret.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:19:49:41 +0100] "GET /cardioSHARE/js/jquery.autocomplete.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:19:49:41 +0100] "GET /cardioSHARE/js/queryForm.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:19:49:41 +0100] "GET /cardioSHARE/js/jquery.sparqlassist.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:19:49:41 +0100] "GET /cardioSHARE/js/doAssist.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:19:49:41 +0100] "GET /cardioSHARE/images/HSFBCY.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:19:49:41 +0100] "GET /cardioSHARE/images/CANARIE.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:19:49:41 +0100] "GET /cardioSHARE/images/CIHR.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:19:49:41 +0100] "GET /cardioSHARE/images/GenomeCanada.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:19:49:41 +0100] "GET /cardioSHARE/images/GenomeAlberta.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:19:49:41 +0100] "GET /cardioSHARE/resources/LSRN.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:19:49:41 +0100] "GET /cardioSHARE/resources/props.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:19:49:42 +0100] "GET /cardioSHARE/style/images/bgbottom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:19:49:42 +0100] "GET /cardioSHARE/style/images/bgtop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:19:49:42 +0100] "GET /cardioSHARE/style/images/bgedge.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:19:49:42 +0100] "GET /cardioSHARE/style/images/header.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:19:49:42 +0100] "GET /cardioSHARE/style/images/welcome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:22:20:20 +0100] "GET /cardioSHARE/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:22:20:20 +0100] "GET /cardioSHARE/style/cardioSHARE.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:22:20:20 +0100] "GET /cardioSHARE/style/jquery.autocomplete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:22:20:20 +0100] "GET /cardioSHARE/style/jquery.sparqlassist.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:22:20:20 +0100] "GET /cardioSHARE/js/jquery.caret.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:22:20:20 +0100] "GET /cardioSHARE/js/jquery.autocomplete.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:22:20:21 +0100] "GET /cardioSHARE/js/jquery.sparqlassist.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:22:20:21 +0100] "GET /cardioSHARE/js/queryForm.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:22:20:21 +0100] "GET /cardioSHARE/js/doAssist.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2016:22:20:21 +0100] "GET /cardioSHARE/images/HSFBCY.gif HTTP/1.1" 304 -
